,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
21,eraser_movie_10_synonym_2_11,2,11,1.3402104377746582,0.53125,0.08163265306122448,0.6666666666666666,0.043478260869565216,0.06741052976458244,0.6257608695652174,2.0982,95.319,6.196,1.0
35,eraser_movie_10_synonym_2_12,2,12,1.2852258682250977,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6294565217391304,2.0996,95.258,6.192,1.0
46,eraser_movie_10_synonym_2_13,2,13,1.2796238660812378,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6509782608695652,2.1083,94.864,6.166,1.0
32,eraser_movie_10_synonym_2_14,2,14,1.323777675628662,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6277173913043478,2.0921,95.597,6.214,1.0
89,eraser_movie_10_synonym_2_15,2,15,1.0780531167984009,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.7160869565217391,2.1079,94.879,6.167,1.0
34,eraser_movie_10_synonym_2_16,2,16,1.3901023864746094,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6444565217391305,2.1165,94.494,6.142,1.0
10,eraser_movie_10_synonym_2_17,2,17,1.311838984489441,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6583695652173912,2.0983,95.314,6.195,1.0
70,eraser_movie_10_synonym_2_18,2,18,1.1676558256149292,0.5416666666666666,0.08333333333333333,1.0,0.043478260869565216,0.15207476616811838,0.7440217391304349,2.0853,95.911,6.234,1.0
12,eraser_movie_10_synonym_2_19,2,19,1.3402104377746582,0.53125,0.08163265306122448,0.6666666666666666,0.043478260869565216,0.06741052976458244,0.6257608695652174,2.1018,95.155,6.185,1.0
69,eraser_movie_10_synonym_5_0,5,0,1.3521170616149902,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.621195652173913,2.1152,94.553,6.146,1.0
87,eraser_movie_10_synonym_5_1,5,1,1.3294038772583008,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6682608695652174,2.0837,95.985,6.239,1.0
