,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,loss,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
33,33,Synonym replacement,10,DistilBERT,3,1.5727702379226685,0.635,0.434108527131783,0.9655172413793104,0.28,0.3834128905580745,0.8344999999999999,0.8991204081865277,0.0004005195254894
34,34,Synonym replacement,10,DistilBERT,4,2.345292568206787,0.56,0.2413793103448275,0.875,0.14,0.2211629342323457,0.7782,0.9179373709568976,0.0001795302177889
35,35,imbalanced,10,DistilBERT,0,2.241713523864746,0.5,0.0,0.0,0.0,0.0,0.7298,0.9755335594323594,1.5221342547933937e-06
36,36,imbalanced,10,DistilBERT,1,2.183342695236206,0.5,0.0,0.0,0.0,0.0,0.6538,0.6890371996505876,0.0275331817003648
37,37,imbalanced,10,DistilBERT,2,2.5287094116210938,0.5,0.0,0.0,0.0,0.0,0.7153999999999999,0.911353338910154,0.0002424731598548
38,38,imbalanced,10,DistilBERT,3,2.281479835510254,0.5,0.0,0.0,0.0,0.0,0.7399,0.9151515151515152,0.0002044724061488
39,39,imbalanced,10,DistilBERT,4,2.349231481552124,0.5,0.0,0.0,0.0,0.0,0.7443,0.9030303030303028,0.0003436121977632
40,40,Contextual_word_embedding,20,DistilBERT,0,1.084704041481018,0.58,0.3636363636363636,0.75,0.24,0.2182178902359924,0.7132000000000001,0.87806510397951,0.0008326922557953
41,41,Contextual_word_embedding,20,DistilBERT,1,1.0807411670684814,0.53,0.3896103896103896,0.5555555555555556,0.3,0.0675737378399485,0.5849,0.5896683773696627,0.0727859369597627
42,42,Contextual_word_embedding,20,DistilBERT,2,0.8621711730957031,0.555,0.3945578231292517,0.6170212765957447,0.29,0.1297173419074912,0.6107,0.4753901630533415,0.1649477553798538
43,43,Contextual_word_embedding,20,DistilBERT,3,1.0224531888961792,0.53,0.2985074626865671,0.5882352941176471,0.2,0.0798652302097503,0.6289,0.6523849021904634,0.0409017891286929
44,44,Contextual_word_embedding,20,DistilBERT,4,0.984220564365387,0.6,0.4594594594594595,0.7083333333333334,0.34,0.2341464528954235,0.6457999999999999,0.5477571348580306,0.1011955740795266
45,45,LLama,20,DistilBERT,0,0.8069683313369751,0.625,0.4094488188976377,0.9629629629629628,0.26,0.3657927344217893,0.8170000000000001,0.9757575757575756,1.4675461874042197e-06
46,46,LLama,20,DistilBERT,1,0.6554415822029114,0.715,0.6174496644295302,0.9387755102040816,0.46,0.4998986246737122,0.8921,0.9939209163101398,5.9314227149526886e-09
47,47,LLama,20,DistilBERT,2,0.5001791715621948,0.795,0.757396449704142,0.927536231884058,0.64,0.620571488413254,0.9293,0.996965091635306,3.698093220209433e-10
48,48,LLama,20,DistilBERT,3,0.8233420848846436,0.7,0.6,0.9,0.45,0.4618802153517006,0.8317,0.9726488698881034,2.3689349006384747e-06
49,49,LLama,20,DistilBERT,4,0.6410195231437683,0.73,0.6582278481012658,0.896551724137931,0.52,0.5068735891294489,0.8478999999999999,0.9544117035777014,1.7882674752900054e-05
50,50,LLama_complex,20,DistilBERT,0,0.8594643473625183,0.665,0.5037037037037038,0.9714285714285714,0.34,0.4342481186734475,0.8635,0.9939209163101398,5.9314227149526886e-09
51,51,LLama_complex,20,DistilBERT,1,0.6866596341133118,0.73,0.6582278481012658,0.896551724137931,0.52,0.5068735891294489,0.8815,0.9573348703109936,1.3767647149144003e-05
52,52,LLama_complex,20,DistilBERT,2,0.4936922490596771,0.815,0.778443113772455,0.9701492537313432,0.65,0.6673863619872192,0.9405,0.9725179925282852,2.414220529804286e-06
53,53,LLama_complex,20,DistilBERT,3,0.8331573605537415,0.69,0.5753424657534246,0.9130434782608696,0.42,0.4514860336956696,0.8246,0.9451395216446112,3.707957081777725e-05
54,54,LLama_complex,20,DistilBERT,4,0.6488236784934998,0.73,0.6860465116279069,0.8194444444444444,0.59,0.4791666666666667,0.8272,0.9665698144513026,5.248115668648561e-06
55,55,ROS,20,DistilBERT,0,1.569918870925903,0.615,0.4031007751937984,0.896551724137931,0.26,0.3266109808457671,0.7611,0.9787279253249042,8.73148286763856e-07
56,56,ROS,20,DistilBERT,1,0.7984579205513,0.735,0.6787878787878788,0.8615384615384616,0.56,0.5017348819226064,0.8316,0.9848069807617048,2.2888344854823721e-07
57,57,ROS,20,DistilBERT,2,0.9475305080413818,0.655,0.5490196078431373,0.7924528301886793,0.42,0.3512085593894638,0.7709,0.9544117035777014,1.7882674752900054e-05
58,58,ROS,20,DistilBERT,3,1.0328733921051023,0.77,0.7088607594936709,0.9655172413793104,0.56,0.5950255176737009,0.9053,0.9268464986450384,0.00011462381377
59,59,ROS,20,DistilBERT,4,1.0892605781555176,0.695,0.6013071895424837,0.8679245283018868,0.46,0.4418430263286803,0.8417000000000001,0.9939209163101398,5.9314227149526886e-09
60,60,Spelling_mistake,20,DistilBERT,0,1.5483251810073853,0.62,0.4153846153846154,0.9,0.27,0.3360672201667223,0.7846,0.9483326481409008,2.9285883237761183e-05
61,61,Spelling_mistake,20,DistilBERT,1,1.1197938919067385,0.705,0.593103448275862,0.9555555555555556,0.43,0.4909211588731847,0.8684,0.9483326481409008,2.9285883237761183e-05
62,62,Spelling_mistake,20,DistilBERT,2,1.2363780736923218,0.595,0.4,0.7714285714285715,0.27,0.2500216440847122,0.7164,0.9483326481409008,2.9285883237761183e-05
63,63,Spelling_mistake,20,DistilBERT,3,1.1649129390716553,0.675,0.5323741007194245,0.9487179487179488,0.37,0.4416953252097554,0.9119,0.9231861823449954,0.0001387172447573
64,64,Spelling_mistake,20,DistilBERT,4,1.5445367097854614,0.625,0.4604316546762589,0.8205128205128205,0.32,0.315496660864111,0.7379,0.9207488243118472,0.0001567069981304
65,65,Summarization,20,DistilBERT,0,1.1358580589294434,0.5,0.0,0.0,0.0,0.0,0.658,0.69546692403323,0.0255464275289761
66,66,Summarization,20,DistilBERT,1,1.0391167402267456,0.495,0.0,0.0,0.0,-0.0708881205008336,0.6492,0.8026067687913557,0.0051945459885007
67,67,Summarization,20,DistilBERT,2,1.1362065076828003,0.5,0.0,0.0,0.0,0.0,0.7261,0.9601136296387952,1.0552026892687651e-05
68,68,Summarization,20,DistilBERT,3,0.9211162328720092,0.525,0.128440366972477,0.7777777777777778,0.07,0.1205957675487369,0.7851,0.9451395216446112,3.707957081777725e-05
69,69,Summarization,20,DistilBERT,4,1.000389575958252,0.5,0.0,0.0,0.0,0.0,0.7238,0.8902604526458922,0.0005547038179406
70,70,Synonym replacement,20,DistilBERT,0,1.5057133436203003,0.615,0.4210526315789474,0.8484848484848485,0.28,0.3098222692202879,0.7345,0.9632626970495626,7.62309597899516e-06
71,71,Synonym replacement,20,DistilBERT,1,0.7468173503875732,0.72,0.65,0.8666666666666667,0.52,0.4800793585191832,0.8897,0.9848069807617048,2.2888344854823721e-07
72,72,Synonym replacement,20,DistilBERT,2,1.0954785346984863,0.64,0.5068493150684931,0.8043478260869565,0.37,0.3326739195652302,0.755,0.9390418473114204,5.610181924931424e-05
73,73,Synonym replacement,20,DistilBERT,3,1.3623046875,0.69,0.5571428571428572,0.975,0.39,0.475,0.8832,0.996965091635306,3.698093220209433e-10
74,74,Synonym replacement,20,DistilBERT,4,0.9525442719459534,0.735,0.6624203821656051,0.912280701754386,0.52,0.5205859122780059,0.8508999999999999,0.9726488698881034,2.3689349006384747e-06
75,75,imbalanced,20,DistilBERT,0,1.4175206422805786,0.5,0.0,0.0,0.0,0.0,0.7817999999999999,0.8930039428247147,0.0005030002857088
76,76,imbalanced,20,DistilBERT,1,1.425717830657959,0.5,0.0,0.0,0.0,0.0,0.8075,0.9329441729782294,8.153458641949312e-05
77,77,imbalanced,20,DistilBERT,2,1.5014102458953855,0.5,0.0,0.0,0.0,0.0,0.8211,0.9573348703109936,1.3767647149144003e-05
78,78,imbalanced,20,DistilBERT,3,1.5833640098571775,0.5,0.0,0.0,0.0,0.0,0.6891999999999999,0.8807710121010884,0.0007637917374575
79,79,imbalanced,20,DistilBERT,4,1.4613523483276367,0.5,0.0,0.0,0.0,0.0,0.766,0.8997002046464955,0.0003916735956294
80,80,Contextual_word_embedding,50,DistilBERT,0,0.5267711877822876,0.75,0.7340425531914891,0.7840909090909091,0.69,0.5036393525158627,0.8330000000000001,0.9300954818304988,9.596084056886828e-05
81,81,Contextual_word_embedding,50,DistilBERT,1,0.5598453283309937,0.71,0.712871287128713,0.7058823529411765,0.72,0.420084025208403,0.7914,0.9632626970495626,7.62309597899516e-06
82,82,Contextual_word_embedding,50,DistilBERT,2,0.5744847059249878,0.715,0.7164179104477613,0.7128712871287128,0.72,0.4300215016126343,0.8023,0.9146511499786562,0.0002092087789509
83,83,Contextual_word_embedding,50,DistilBERT,3,0.562569797039032,0.735,0.7414634146341463,0.7238095238095238,0.76,0.4705886038624533,0.791,0.9787279253249042,8.73148286763856e-07
84,84,Contextual_word_embedding,50,DistilBERT,4,0.5929234027862549,0.69,0.6804123711340208,0.7021276595744681,0.66,0.3806858523579089,0.7670999999999999,0.9939209163101398,5.9314227149526886e-09
85,85,LLama,50,DistilBERT,0,0.4195167422294616,0.825,0.8066298342541436,0.9012345679012346,0.73,0.662060025631486,0.9236,0.9848069807617048,2.2888344854823721e-07
86,86,LLama,50,DistilBERT,1,0.4153644144535064,0.825,0.7976878612716762,0.9452054794520548,0.69,0.675071954921104,0.9294,0.9726488698881034,2.3689349006384747e-06
87,87,LLama,50,DistilBERT,2,0.3866240680217743,0.845,0.837696335078534,0.8791208791208791,0.8,0.6928115919976011,0.9288,0.9939209163101398,5.9314227149526886e-09
88,88,LLama,50,DistilBERT,3,0.488149344921112,0.775,0.7337278106508875,0.8985507246376812,0.62,0.5784988451309996,0.9115,0.9939209163101398,5.9314227149526886e-09
89,89,LLama,50,DistilBERT,4,0.4211962819099426,0.845,0.8472906403940887,0.8349514563106796,0.86,0.6903107097448145,0.9176,0.9848069807617048,2.2888344854823721e-07
90,90,LLama_complex,50,DistilBERT,0,0.3911552429199219,0.84,0.8241758241758242,0.9146341463414634,0.75,0.691291127457908,0.9363,0.996965091635306,3.698093220209433e-10
91,91,LLama_complex,50,DistilBERT,1,0.441960722208023,0.835,0.8092485549132947,0.958904109589041,0.7,0.6958433996879072,0.9353,0.9908673886137244,3.010166323417494e-08
92,92,LLama_complex,50,DistilBERT,2,0.4224417805671692,0.8,0.7938144329896908,0.8191489361702128,0.77,0.6010829247756457,0.9042,0.9757575757575756,1.4675461874042197e-06
93,93,LLama_complex,50,DistilBERT,3,0.4311915934085846,0.79,0.7613636363636364,0.881578947368421,0.67,0.5974620914869886,0.9206,0.9817255676437576,4.773070226572784e-07
94,94,LLama_complex,50,DistilBERT,4,0.4010249376296997,0.805,0.8,0.8210526315789474,0.78,0.6107639326725458,0.9169,0.9939209163101398,5.9314227149526886e-09
95,95,ROS,50,DistilBERT,0,0.4922480285167694,0.805,0.7936507936507935,0.8426966292134831,0.75,0.613724332606128,0.897,0.9908673886137244,3.010166323417494e-08
96,96,ROS,50,DistilBERT,1,0.415335088968277,0.805,0.7979274611398963,0.8279569892473119,0.77,0.6115000148109216,0.9223,0.996965091635306,3.698093220209433e-10
97,97,ROS,50,DistilBERT,2,0.4261465966701507,0.815,0.8102564102564104,0.8315789473684211,0.79,0.6307889796454161,0.9135,0.9908673886137244,3.010166323417494e-08
98,98,ROS,50,DistilBERT,3,0.5314790606498718,0.775,0.7804878048780488,0.7619047619047619,0.8,0.5506887917539347,0.8580000000000001,0.9636363636363636,7.320974809529922e-06
99,99,ROS,50,DistilBERT,4,0.4832974374294281,0.805,0.8040201005025126,0.8080808080808081,0.8,0.6100305022876906,0.9001,0.9848069807617048,2.2888344854823721e-07
100,100,Spelling_mistake,50,DistilBERT,0,0.4116882085800171,0.815,0.7978142076502732,0.8795180722891566,0.73,0.6393056938253822,0.9224,0.9847319278346618,2.3341863207874457e-07
101,101,Spelling_mistake,50,DistilBERT,1,0.4474939405918121,0.82,0.8125,0.8478260869565217,0.78,0.6420578831241024,0.9144,0.9817255676437576,4.773070226572784e-07
102,102,Spelling_mistake,50,DistilBERT,2,0.4111877679824829,0.84,0.8260869565217391,0.9047619047619048,0.76,0.6888747637021416,0.9258,0.9268464986450384,0.00011462381377
103,103,Spelling_mistake,50,DistilBERT,3,0.4079031646251678,0.805,0.7796610169491525,0.8961038961038961,0.69,0.6268042271913956,0.9231,0.9451395216446112,3.707957081777725e-05
104,104,Spelling_mistake,50,DistilBERT,4,0.4490055739879608,0.825,0.8167539267015708,0.8571428571428571,0.78,0.6526486011571605,0.9095,0.9848069807617048,2.2888344854823721e-07
105,105,Summarization,50,DistilBERT,0,0.6199061870574951,0.69,0.6075949367088608,0.8275862068965517,0.48,0.4187216605851969,0.779,0.8693049274624923,0.0010869850351278
106,106,Summarization,50,DistilBERT,1,0.4865802824497223,0.765,0.7707317073170733,0.7523809523809524,0.79,0.5306637447810644,0.8578999999999999,0.996965091635306,3.698093220209433e-10
107,107,Summarization,50,DistilBERT,2,0.4654901921749115,0.78,0.7777777777777778,0.7857142857142857,0.77,0.560112033611204,0.8662,0.9878787878787878,9.307459988955517e-08
108,108,Summarization,50,DistilBERT,3,0.4697022140026092,0.795,0.8,0.780952380952381,0.82,0.5907388856996754,0.8744000000000001,0.9848069807617048,2.2888344854823721e-07
