,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
94,Contextual_word_embedding,20,LSTM,1,0.5473298189319276,0.535621913943099,0.7533068783068783,0.4155417730755198,0.1884663055964688,0.6466026466620272,0.9878787878787878,9.307459988955517e-08,Contextual_word_embedding201LSTM
96,LLama_complex,20,LSTM,1,0.6080678432271373,0.6160754378087113,0.8009340338587274,0.5005472455308282,0.287306041406868,0.7110341163615392,1.0,6.646897422032013e-64,LLama_complex201LSTM
98,LLama_simple,20,LSTM,1,0.7288562915425166,0.7952224337891639,0.7565876152832675,0.8380153228748631,0.40171414143146,0.7759204993722308,1.0,6.646897422032013e-64,LLama_simple201LSTM
100,ROS,20,LSTM,1,0.5347238138895255,0.4945219123505976,0.7788235294117647,0.3622765414082451,0.2002195769708632,0.6583629148820644,0.9878787878787878,9.307459988955517e-08,ROS201LSTM
101,Spelling_mistake,20,LSTM,1,0.643823057529223,0.6608467917939764,0.8223791417707768,0.5523531557825611,0.3432246179771067,0.7316282500154074,1.0,6.646897422032013e-64,Spelling_mistake201LSTM
102,Summarization,20,LSTM,1,0.6378638551455421,0.6597760551248923,0.8050446663163426,0.5589201021524991,0.3217785529301986,0.721873761499916,1.0,6.646897422032013e-64,Summarization201LSTM
104,Synonym replacement,20,LSTM,1,0.5725418290167316,0.5571123248634529,0.7979591836734694,0.4279460051076249,0.2503382297741864,0.6859001840346458,1.0,6.646897422032013e-64,Synonym replacement201LSTM
106,imbalanced,20,LSTM,1,0.6034838413935365,0.5957943925233645,0.8284600389863548,0.4651587012039401,0.3058477598731481,0.7206502752422344,0.9878787878787878,9.307459988955517e-08,imbalanced201LSTM
108,paraphrase,20,LSTM,1,0.5801054320421728,0.593611357586513,0.7572156196943973,0.4881430134987231,0.2201848361011076,0.6561286101223104,1.0,6.646897422032013e-64,paraphrase201LSTM
110,Contextual_word_embedding,20,LSTM,2,0.5076782030712812,0.4503582395087001,0.7540702656383891,0.32105071141919,0.157337129676158,0.6118805587707511,0.9878787878787878,9.307459988955517e-08,Contextual_word_embedding202LSTM
112,LLama_complex,20,LSTM,2,0.6176942470776988,0.6273458445040213,0.809221902017291,0.5122218168551623,0.3042871366235046,0.7299373670404791,1.0,6.646897422032013e-64,LLama_complex202LSTM
114,LLama_simple,20,LSTM,2,0.5294522117808848,0.4515094843708255,0.843313373253493,0.3082816490331995,0.2429946254913444,0.7216116099725095,1.0,6.646897422032013e-64,LLama_simple202LSTM
115,ROS,20,LSTM,2,0.4966765986706394,0.4348944930519815,0.7379912663755459,0.3082816490331995,0.1354673449718588,0.6040900136800136,0.9878787878787878,9.307459988955517e-08,ROS202LSTM
117,Spelling_mistake,20,LSTM,2,0.568416227366491,0.5112899039709318,0.8857913669064749,0.3593578985771616,0.3116860290827292,0.7506419394759488,1.0,6.646897422032013e-64,Spelling_mistake202LSTM
119,Summarization,20,LSTM,2,0.5136374054549622,0.4729259811227024,0.7408560311284047,0.347318496898942,0.1505679622385326,0.6275350873680976,0.9878787878787878,9.307459988955517e-08,Summarization202LSTM
121,Synonym replacement,20,LSTM,2,0.5908778363511346,0.5889937830992401,0.7983770287141073,0.4666180226194819,0.2681690618185431,0.6864582260247751,1.0,6.646897422032013e-64,Synonym replacement202LSTM
123,imbalanced,20,LSTM,2,0.6520742608297043,0.7005917159763314,0.7625590382138256,0.6479387085005472,0.2974132784362148,0.703783506698978,1.0,6.646897422032013e-64,imbalanced202LSTM
125,paraphrase,20,LSTM,2,0.5640614256245703,0.569683257918552,0.7498511018463371,0.4593214155417731,0.1990314411917332,0.6462730172639882,0.9878787878787878,9.307459988955517e-08,paraphrase202LSTM
126,Contextual_word_embedding,20,LSTM,3,0.518679807471923,0.5422842197035744,0.6735246345425013,0.4538489602334914,0.0802894918113278,0.5616186546622035,0.9151515151515152,0.0002044724061488,Contextual_word_embedding203LSTM
128,LLama_complex,20,LSTM,3,0.612651845060738,0.6132723112128146,0.8225905463474524,0.488872674206494,0.3104259496877345,0.7291664323685048,1.0,6.646897422032013e-64,LLama_complex203LSTM
130,LLama_simple,20,LSTM,3,0.5053862021544808,0.4214477211796247,0.7947421638018201,0.2867566581539584,0.1865337437321263,0.6525130333507125,0.9878787878787878,9.307459988955517e-08,LLama_simple203LSTM
132,ROS,20,LSTM,3,0.4657345862938345,0.3530391340549542,0.7378190255220418,0.2320321050711419,0.1125123985047761,0.5913657116148759,0.9878787878787878,9.307459988955517e-08,ROS203LSTM
133,Spelling_mistake,20,LSTM,3,0.5402246160898464,0.5302107728337236,0.7403531720078482,0.4129879605983217,0.170402359139437,0.6232986017235647,1.0,6.646897422032013e-64,Spelling_mistake203LSTM
134,Summarization,20,LSTM,3,0.5674994269997709,0.5458483754512635,0.801980198019802,0.4137176213060927,0.2489426290660385,0.6949695472369837,0.9878787878787878,9.307459988955517e-08,Summarization203LSTM
