,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
27,23,ROS,10,SVM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7555999999999998,0.9075630385563792,0.0002853342567491
28,81,Spelling_mistake,10,SVM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7405999999999999,0.9354953314429288,7.003621682809512e-05
29,69,Summarization,10,SVM,3,0.495,0.0194174757281553,0.3333333333333333,0.01,-0.0411345034894863,0.6427,0.7890240316738918,0.0066604718948152
30,54,Synonym replacement,10,SVM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7635,0.9240164263936984,0.00013295265816
31,64,imbalanced,10,SVM,3,0.585,0.2905982905982906,1.0,0.17,0.3047887380849036,0.8652,0.9939209163101398,5.9314227149526886e-09
32,42,Contextual_word_embedding,10,SVM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7853,0.9030303030303028,0.0003436121977632
33,97,LLama,10,SVM,4,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.781,0.884162778312701,0.000683418684027
34,61,LLama_complex,10,SVM,4,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.7913000000000001,0.8868874774629015,0.000623474835484
35,63,ROS,10,SVM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7848,0.8739495859532623,0.0009460263190178
36,48,Spelling_mistake,10,SVM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7907000000000001,0.9108770332470622,0.0002475803236835
37,31,Summarization,10,SVM,4,0.5,0.0,0.0,0.0,0.0,0.6294,0.65853947673943,0.0384035783425594
38,76,Synonym replacement,10,SVM,4,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7907000000000001,0.8658697553131279,0.0012006393015462
39,33,imbalanced,10,SVM,4,0.595,0.3414634146341462,0.9130434782608696,0.21,0.2977851591039412,0.8532,0.9939209163101398,5.9314227149526886e-09
40,0,original,100,LSTM,0,0.55,0.2622950819672131,0.7272727272727273,0.16,0.1598006930251482,0.6483000000000001,0.9075630385563792,0.0002853342567491
41,1,original,100,SVM,0,0.84,0.8383838383838385,0.8469387755102041,0.83,0.6801360408136048,0.9315,0.996965091635306,3.698093220209433e-10
