,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
27,Spelling_mistake,50,SVM,0,0.8821911528764611,0.9034923019151332,0.9307543520309478,0.8777818314483765,0.7547781305048034,0.9510211876015264,1.0,6.646897422032013e-64,Spelling_mistake500SVM
28,paraphrase,50,SVM,0,0.8856291542516617,0.9063262624366436,0.9334880123743232,0.8807004742794601,0.7619602007303922,0.951507703048785,1.0,6.646897422032013e-64,paraphrase500SVM
29,LLama_complex,50,SVM,1,0.8824203529681411,0.9040583504769028,0.927475057559478,0.8817949653411163,0.7540892803663811,0.9500004723450944,1.0,6.646897422032013e-64,LLama_complex501SVM
30,ROS,50,SVM,1,0.8835663534265413,0.9046546546546548,0.931580981832238,0.8792411528639182,0.7575594865392605,0.9501565711524904,1.0,6.646897422032013e-64,ROS501SVM
32,imbalanced,50,SVM,2,0.8808159523263809,0.9023657529102516,0.9295938104448744,0.8766873403867201,0.7518825851432761,0.9504696684722244,1.0,6.646897422032013e-64,imbalanced502SVM
33,ROS,50,SVM,3,0.8803575521430208,0.9015837104072398,0.9328911431915724,0.8723093761400948,0.7522284697627856,0.950666254002,1.0,6.646897422032013e-64,ROS503SVM
34,Spelling_mistake,50,SVM,3,0.8840247536099014,0.9049943672549756,0.9323017408123792,0.8792411528639182,0.7586388576535064,0.9509664180631964,1.0,6.646897422032013e-64,Spelling_mistake503SVM
35,imbalanced,50,SVM,3,0.8842539537015814,0.905412998688893,0.9303310238645112,0.8817949653411163,0.7583924031105314,0.950524213084319,1.0,6.646897422032013e-64,imbalanced503SVM
39,imbalanced,50,SVM,4,0.8844831537932615,0.9057943925233644,0.9287083173629744,0.883983947464429,0.7582804935781206,0.9509676551574912,1.0,6.646897422032013e-64,imbalanced504SVM
2,Contextual_word_embedding,10,SVM,0,0.6992894797157919,0.6917293233082706,0.9716171617161716,0.5370302809193724,0.5182224512641316,0.9357534196660204,1.0,6.646897422032013e-64,Contextual_word_embedding100SVM
20,Contextual_word_embedding,10,SVM,3,0.6947054778821912,0.6837606837606837,0.9789259007477906,0.5253557095950383,0.5175280865574079,0.9370807093813586,0.9878787878787878,9.307459988955517e-08,Contextual_word_embedding103SVM
25,Contextual_word_embedding,10,SVM,4,0.6967682787073115,0.6876033057851239,0.9745649263721552,0.5311929952572054,0.5171329870140595,0.9348976878032847,1.0,6.646897422032013e-64,Contextual_word_embedding104SVM
33,Contextual_word_embedding,20,SVM,0,0.8141187256474902,0.8321258538604843,0.9617224880382776,0.733309011309741,0.6616907257984533,0.9465774324310342,1.0,6.646897422032013e-64,Contextual_word_embedding200SVM
39,Contextual_word_embedding,20,SVM,1,0.8196195278478111,0.8382322713257964,0.9599811676082862,0.7438890915724188,0.6685873960279892,0.947146158417347,0.9878787878787878,9.307459988955517e-08,Contextual_word_embedding201SVM
47,Contextual_word_embedding,20,SVM,2,0.7992207196882879,0.8167364016736403,0.9573320255026974,0.7121488507843853,0.6378470384733224,0.9439353364064256,1.0,6.646897422032013e-64,Contextual_word_embedding202SVM
55,Contextual_word_embedding,20,SVM,3,0.8216823286729315,0.840377513336069,0.9601500234411628,0.7471725647573878,0.6716947739917845,0.9483443404735418,1.0,6.646897422032013e-64,Contextual_word_embedding203SVM
67,Contextual_word_embedding,50,SVM,0,0.8860875544350217,0.9068416119962512,0.9325366229760989,0.8825246260488873,0.7624776357176956,0.9508847698397312,1.0,6.646897422032013e-64,Contextual_word_embedding500SVM
73,Contextual_word_embedding,50,SVM,1,0.8835663534265413,0.904868913857678,0.929588303193536,0.8814301349872309,0.7568878664017423,0.9499731438074882,1.0,6.646897422032013e-64,Contextual_word_embedding501SVM
79,Contextual_word_embedding,50,SVM,2,0.8794407517763007,0.9010161836657884,0.9304314030314808,0.8734038672017512,0.7496946571913806,0.950502057850128,1.0,6.646897422032013e-64,Contextual_word_embedding502SVM
83,Contextual_word_embedding,50,SVM,3,0.8831079532431813,0.9042792792792792,0.9311944337069964,0.8788763225100328,0.7565941348181868,0.9509505607635976,1.0,6.646897422032013e-64,Contextual_word_embedding503SVM
88,Contextual_word_embedding,50,SVM,4,0.8847123538849415,0.9058933582787652,0.9297235023041476,0.8832542867566582,0.7590319616481557,0.9506216061442648,0.996965091635306,3.698093220209433e-10,Contextual_word_embedding504SVM
7,LLama_complex,10,SVM,2,0.7568187027274811,0.7660418963616318,0.968227424749164,0.633710324699015,0.5878960565655041,0.9373627668806016,0.996965091635306,3.698093220209433e-10,LLama_complex102SVM
21,LLama_complex,10,SVM,3,0.7508595003438001,0.7588196139338805,0.9682899207248018,0.6238599051441079,0.5802438927771808,0.9351296992151424,1.0,6.646897422032013e-64,LLama_complex103SVM
26,LLama_complex,10,SVM,4,0.75040110016044,0.7581612258494337,0.9687854710556186,0.6227654140824517,0.5799845243339335,0.9343955399826628,1.0,6.646897422032013e-64,LLama_complex104SVM
34,LLama_complex,20,SVM,0,0.8239743295897318,0.8432013066557779,0.9573481687528976,0.7533746807734404,0.6733945761726635,0.94541130236339,1.0,6.646897422032013e-64,LLama_complex200SVM
40,LLama_complex,20,SVM,1,0.837267934907174,0.8572003218020917,0.9551770506499327,0.7774534841298796,0.692036468650593,0.9462453288444056,0.996965091635306,3.698093220209433e-10,LLama_complex201SVM
48,LLama_complex,20,SVM,2,0.8271831308732523,0.846872461413485,0.9551076500229042,0.7606712878511492,0.676829404914017,0.9434857088617788,0.9878787878787878,9.307459988955517e-08,LLama_complex202SVM
56,LLama_complex,20,SVM,3,0.8338299335319734,0.8538011695906432,0.954463480613165,0.7723458591754834,0.6864216976653889,0.9468253011424904,1.0,6.646897422032013e-64,LLama_complex203SVM
63,LLama_complex,20,SVM,4,0.8329131331652533,0.852697514649424,0.9556159420289856,0.7697920466982853,0.6856955164584951,0.9438190495427023,1.0,6.646897422032013e-64,LLama_complex204SVM
26,LLama_complex,50,SVM,0,0.8833371533348613,0.9045923149015932,0.9302235929067078,0.8803356439255746,0.7566819127490466,0.9508948915203258,1.0,6.646897422032013e-64,LLama_complex500SVM
84,LLama_complex,50,SVM,3,0.8840247536099014,0.9051724137931036,0.930635838150289,0.8810653046333455,0.7580752034029161,0.950850243662591,1.0,6.646897422032013e-64,LLama_complex503SVM
89,LLama_complex,50,SVM,4,0.8847123538849415,0.9058933582787652,0.9297235023041476,0.8832542867566582,0.7590319616481557,0.9511069969603468,1.0,6.646897422032013e-64,LLama_complex504SVM
1,LLama_simple,10,SVM,0,0.7703415081366033,0.7820791648542845,0.968228325255789,0.655964976286027,0.6056029035064271,0.9366616718047316,1.0,6.646897422032013e-64,LLama_simple100SVM
8,LLama_simple,10,SVM,1,0.7652991061196425,0.7753400614304519,0.972482113373693,0.6446552353155782,0.6017564430650876,0.9382658457158974,1.0,6.646897422032013e-64,LLama_simple101SVM
15,LLama_simple,10,SVM,2,0.7556727022690809,0.7648875165416851,0.9670942554378136,0.6326158336373586,0.5856593268198603,0.9375804954765086,0.9878787878787878,9.307459988955517e-08,LLama_simple102SVM
22,LLama_simple,10,SVM,3,0.7538391015356406,0.7621789193976972,0.9695774647887324,0.6278730390368479,0.5849375669073423,0.9352182076887884,1.0,6.646897422032013e-64,LLama_simple103SVM
35,LLama_simple,20,SVM,0,0.8237451294980518,0.8430291896305369,0.9569045412418906,0.7533746807734404,0.6727952444975243,0.9455647020559608,0.9878787878787878,9.307459988955517e-08,LLama_simple200SVM
41,LLama_simple,20,SVM,1,0.8384139353655742,0.8582914572864321,0.9556848701880036,0.7789128055454214,0.6940657205272359,0.9461986566505516,1.0,6.646897422032013e-64,LLama_simple201SVM
20,LLama_simple,20,SVM,2,0.8262663305065322,0.8456211812627291,0.9571230982019364,0.7573878146661802,0.6766462125729759,0.9434182309911464,1.0,6.646897422032013e-64,LLama_simple202SVM
57,LLama_simple,20,SVM,3,0.8322255328902132,0.8521212121212122,0.9547306473517428,0.7694272163443998,0.6841548562029675,0.9470746318744768,1.0,6.646897422032013e-64,LLama_simple203SVM
25,LLama_simple,20,SVM,4,0.8329131331652533,0.8528758829465187,0.9543812104787714,0.7708865377599416,0.6849911231019215,0.9437648423199612,1.0,6.646897422032013e-64,LLama_simple204SVM
74,LLama_simple,50,SVM,1,0.881732752693101,0.9034069636840136,0.9277201076509036,0.8803356439255746,0.7529119165980473,0.9499999100295058,1.0,6.646897422032013e-64,LLama_simple501SVM
85,LLama_simple,50,SVM,3,0.8847123538849415,0.9057169634489224,0.9313801079414032,0.8814301349872309,0.7595797742333711,0.9509046758115676,1.0,6.646897422032013e-64,LLama_simple503SVM
90,LLama_simple,50,SVM,4,0.8837955535182214,0.9049671977507028,0.930609097918273,0.8807004742794601,0.7576478665771548,0.9510387318478905,1.0,6.646897422032013e-64,LLama_simple504SVM
4,ROS,10,SVM,0,0.5970662388264956,0.5314498933901919,0.9861523244312562,0.3637358628237869,0.4067322310403437,0.939083002729255,1.0,6.646897422032013e-64,ROS100SVM
16,ROS,10,SVM,2,0.575292230116892,0.4933005195515449,0.9847161572052402,0.3290769792046698,0.3802471415487263,0.9404109672232992,1.0,6.646897422032013e-64,ROS102SVM
36,ROS,20,SVM,0,0.7831767132706853,0.7969085444396737,0.9681794470526864,0.6771251368113828,0.6227201518315069,0.947352640701482,1.0,6.646897422032013e-64,ROS200SVM
18,ROS,20,SVM,1,0.7824891129956452,0.796482950889985,0.9661810613943808,0.6774899671652681,0.620500750866106,0.9471847332667253,1.0,6.646897422032013e-64,ROS201SVM
21,ROS,20,SVM,3,0.7850103140041256,0.7996582656984195,0.964451313755796,0.6829624224735498,0.6227971040537972,0.9487656273125228,1.0,6.646897422032013e-64,ROS203SVM
36,ROS,50,SVM,4,0.8821911528764611,0.9034560480841471,0.9310878823073944,0.8774170010944911,0.7548934693940247,0.950971253977258,1.0,6.646897422032013e-64,ROS504SVM
28,Spelling_mistake,10,SVM,4,0.6612422644969058,0.6350617283950617,0.9824293353705118,0.46917183509668,0.4798209240476869,0.9365116460056924,1.0,6.646897422032013e-64,Spelling_mistake104SVM
37,Spelling_mistake,20,SVM,0,0.8019711207884483,0.8186397984886651,0.9639149777558084,0.7114191900766144,0.6458290100893218,0.9474591432739634,1.0,6.646897422032013e-64,Spelling_mistake200SVM
50,Spelling_mistake,20,SVM,2,0.793719917487967,0.8096446700507614,0.9632611977856064,0.6982852973367384,0.6339522924020257,0.9451594974428136,1.0,6.646897422032013e-64,Spelling_mistake202SVM
22,Spelling_mistake,20,SVM,3,0.8067843227137291,0.8243384038341321,0.9611273080660836,0.7216344399854068,0.6508681993375661,0.9486972497369488,1.0,6.646897422032013e-64,Spelling_mistake203SVM
65,Spelling_mistake,20,SVM,4,0.7985331194132478,0.8152196762665547,0.9618055555555556,0.7074060561838745,0.6397031748597476,0.9455847204909148,1.0,6.646897422032013e-64,Spelling_mistake204SVM
31,Spelling_mistake,50,SVM,1,0.8826495530598212,0.9040839265642562,0.9291490180978051,0.8803356439255746,0.7550657612644648,0.9500613148917813,1.0,6.646897422032013e-64,Spelling_mistake501SVM
81,Spelling_mistake,50,SVM,2,0.8808159523263809,0.902218879277924,0.9309274350019402,0.8752280189711784,0.7523497868463724,0.9512078763769422,1.0,6.646897422032013e-64,Spelling_mistake502SVM
37,Spelling_mistake,50,SVM,4,0.8835663534265413,0.904868913857678,0.929588303193536,0.8814301349872309,0.7568878664017423,0.9508909553112056,1.0,6.646897422032013e-64,Spelling_mistake504SVM
18,Summarization,10,SVM,2,0.7063946825578731,0.7029909575701367,0.9643765903307888,0.553082816490332,0.5220002442946193,0.9148418026308272,1.0,6.646897422032013e-64,Summarization102SVM
